compania;regional;fecha de apertura;fecha de cierre;numero del caso;tipo;estado;medio de recepcion;proceso;causa;causa raiz;lugar ocurrencia;tipificacion interna;descripcion_anonimizada;y_true;justificacion_tecnica
ARL;REGIONAL NORTE;19/01/26;19/01/26;2,60119E+13;QUEJA;Cierre a favor del cliente;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;INCONVENIENTES TECNICOS SITIOS WEB;FALLA INTERACCION CON SISTEMA INTERNOS;SANTA ROSA;Problema de perfil;usuaria se comunica porque requiere ingresar al portal para modificar el ingreso de un empleado pero no le aparece el incono y se le queda en blanco;neg;Falla tŽcnica que impide la operaci—n.
ARL;REGIONAL NORTE;28/01/26;;2,60128E+13;QUEJA;Abierto;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;INCONVENIENTES GENERALES - SUCURSAL VIRTUAL;;MONTERIA;Error novedad ingreso trabajadores;empresa cc : [ID_ANONIMIZADO] ingresa con usuario y clave y no le permite realizar afiliaciones usuario requiere que se le habilite este proceso;neg;Bloqueo de proceso core de la empresa.
ARL;REGIONAL OCCIDENTE;29/01/26;29/01/26;2,60129E+13;PETICION;Cierre aclarando al cliente;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;ASESORIA USO DE SITIO TRANSACCIONAL Y SERVICIOS WEB;;PASTO;;se comunica porque esta ingresando al portal pero le sale un nombre de una empresa la cual ella no labora y le sale el certificado de estandares minimos con un nit y ella es empresa natural;neg;Incidente de integridad de datos/privacidad.
ARL;REGIONAL CENTRO;19/01/26;19/01/26;2,60119E+13;QUEJA;Cierre aclarando al cliente;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;INCONVENIENTES TECNICOS SITIOS WEB;FALLA INTERACCION CON SISTEMA INTERNOS;BOGOTA D.C.;No permite ingresar;nehcesito afiliar a unas personas pero me sale en la pagina que esta en mantenimiento;neu;Reporte de estado de sistema, tono informativo.
ARL;REGIONAL CENTRO;27/01/26;;2,60127E+13;QUEJA;Abierto;WHATSAPP;TRANSFORMACION DIGITAL;INCONVENIENTES GENERALES - SUCURSAL VIRTUAL;;BOGOTA D.C.;Certificado afiliaciÃ³n;id chat : [ID_ANONIMIZADO] canal de atencion whatsapp solicitud del usuario necesito un certificado de arl ya lo hice y no funciona;neg;Frustraci—n por reincidencia del error.
ARL;REGIONAL NORTE;24/01/26;24/01/26;2,60124E+13;PETICION;Cierre aclarando al cliente;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;ASESORIA USO DE SITIO TRANSACCIONAL Y SERVICIOS WEB;;SOLEDAD;;necesita saber como ingresa la hija como beneficiaria;neu;Consulta informativa de procedimiento.
ARL;REGIONAL ANTIOQUIA;28/01/26;;2,60128E+13;QUEJA;Abierto;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;INCONVENIENTES GENERALES - SUCURSAL VIRTUAL;;MEDELLIN;Claves;empresa nit : [ID_ANONIMIZADO] se comunica usuario administrador indicando que trata de crear usuarios delegados y no le administra el campo pertinente para el proceso e ingresa con el administrador usuario requiere se valide este acceso;neg;Error de funcionalidad en perfil administrador.
ARL;REGIONAL ANTIOQUIA;7/01/26;29/01/26;2,60107E+13;QUEJA;Cierre cliente sin localizar;CHAT GESTION ADMINISTRATIVA;TRANSFORMACION DIGITAL;INCONVENIENTES GENERALES - SUCURSAL VIRTUAL;EXPECTATIVA DEL CLIENTE;MEDELLIN;Error novedad ingreso trabajadores;estoy tratando de afiliar una persona y me arroja error dice que debo de llenar todos los espacios en la pestaÃ±a de la eps salario y eso y le doy continuar por que ya los llene pero me sale lo mismo y no me deja avanzar;neg;Frustraci—n por bucle de error en formulario.
ARL;REGIONAL CENTRO;19/01/26;19/01/26;2,60119E+13;QUEJA;Cierre a favor del cliente;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;INCONVENIENTES TECNICOS SITIOS WEB;FALLA INTERACCION CON SISTEMA INTERNOS;BOGOTA D.C.;Claves;no me llega el correo para la creacion de clave;neg;Bloqueo de acceso inicial al servicio.
ARL;REGIONAL CENTRO;29/01/26;29/01/26;2,60129E+13;QUEJA;Cierre aclarando al cliente;LLAMADA DE ENTRADA;TRANSFORMACION DIGITAL;INCONVENIENTES GENERALES - SUCURSAL VIRTUAL;FALLA INTERACCION CON SISTEMA INTERNOS;BOGOTA D.C.;Certificado afiliaciÃ³n;necesito un certificado hoy mismo y no se como hacerlo;neu;Solicitud de asistencia con sentido de urgencia.
ARL;REGIONAL OCCIDENTE;19/01/26;26/01/26;2,60119E+13;QUEJA;Cierre cliente sin localizar;WHATSAPP;TRANSFORMACION DIGITAL;INCONVENIENTES GENERALES - SUCURSAL VIRTUAL;EXPECTATIVA DEL CLIENTE;CALI;Certificado afiliaciÃ³n;id chat : [ID_ANONIMIZADO] canal de atencion whatsapp solicitud del usuario buenas tardes yo tengo contratada arl Anonimo corp pero en la pagina no esta mi certificado;neg;Reclamo por ausencia de informaci—n contractual.
